OBJECTID,Site ID,Company,Corp,Site,State,PADD,Atmos. Crude Dist,Vacuum Dist,Catalytic Cracking,Hydro Cracking,"Thermal Cracking, Visbreaking",Catalytic Recorming,"Alkylates, Isomerization",Desulfurization,Fluid and Delayed Coking,Asphalt and Road Oil,Source,Period,Latitude,Longitude,Link_Imports,x,y
231,478,CITGO REFINING & CHEMICAL INC,PDV AMERICA INC,CORPUS CHRISTI,Texas,3,,85.3,71.4,,,51.5,25.2,273.5,45.1,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",27.8095,-97.4284,,-10845683.6617,3224973.9866
233,496,HF SINCLAIR WYOMING REFINING CO,HF SINCLAIR CORP,SINCLAIR,Wyoming,4,,51,22,16,,13,5,74,20,8,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.7802,-107.1095,,-11923376.2236,5128105.5997
234,497,HF SINCLAIR TULSA REFINING LLC,HF SINCLAIR CORP,TULSA EAST,Oklahoma,2,,27,30,,,25,18.5,99,,15.2,EIA-820 Refinery Capacity Report,"As of January 1, 2023",36.1167,-95.9999,,-10686665.4389,4316697.7686
235,499,HF SINCLAIR CASPER REFINING COMPANY,HF SINCLAIR CORP,EVANSVILLE,Wyoming,4,,,11,,,5,,25.9,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",42.8585,-106.2424,,-11826853.9875,5290451.7073
236,501,ALON REFINING KROTZ SPRINGS INC,DELEK GROUP LTD,KROTZ SPRINGS,Louisiana,3,,36.2,34,,,13,12.2,32,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.5265,-91.748,,-10213340.7526,3571408.6642
237,502,VALERO REFINING CO TEXAS LP,VALERO ENERGY CORP,HOUSTON,Texas,3,,38,75.2,72,,,28.9,62.9,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.7228,-95.2556,,-10603803.2174,3467968.5419
238,503,VALERO REFINING CO TEXAS LP,VALERO ENERGY CORP,TEXAS CITY,Texas,3,,133.5,86,,,18.1,21.2,286,53.5,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.3781,-94.8953,,-10563700.5935,3423857.7644
239,506,DELAWARE CITY REFINING CO LLC,PBF ENERGY CO LLC,DELAWARE CITY,Delaware,1,,104.6,86,25,,43,18.5,180.3,54.5,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",39.5877,-75.6313,,-8419240.3644,4806212.3818
240,507,MOTIVA ENTERPRISES LLC,SAUDI ARAMCO,PORT ARTHUR,Texas,3,,331.8,92.6,115.5,,129.5,79,578.8,178,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.8849,-93.9607,,-10459658.2805,3488762.2194
241,510,CALCASIEU REFINING CO,TRANSWORLD OIL USA INC,LAKE CHARLES,Louisiana,3,,36,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.1324,-93.3201,,-10388342.4506,3520578.5912
242,512,SOUTH HAMPTON RESOURCES INC,TEXAS OIL & CHEMICAL CO,SILSBEE,Texas,3,,,,,,5.2,4.4,15,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.3983,-94.2282,,-10489436.1329,3554857.2219
243,517,VALERO REFINING NEW ORLEANS LLC,VALERO ENERGY CORP,NORCO,Louisiana,3,,180,100,113,,25,48,195,86,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.0024,-90.4232,,-10065864.8025,3503854.2315
244,523,UNITED REFINING CO,RED APPLE GROUP INC,WARREN,Pennsylvania,1,,40,26,,,14,13,53,,23,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.8322,-79.128,,-8808491.3392,5135874.9227
245,525,LAZARUS ENERGY LLC,BLUE DOLPHIN ENERGY CO,NIXON,Texas,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.2616,-97.7872,,-10885626.6534,3408986.9811
246,526,PDV MIDWEST REFINING LLC,PDV AMERICA INC,LEMONT,Illinois,2,,77.2,69.5,,,35.8,24.3,229,41.2,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.6556,-88.0465,,-9801297.1121,5109532.5164
247,528,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,DETROIT,Michigan,2,,90.5,44,,,21.5,8,135,38,32,EIA-820 Refinery Capacity Report,"As of January 1, 2023",42.2837,-83.1585,,-9257161.0959,5203571.5183
248,530,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,GARYVILLE,Louisiana,3,,299,150,130,,137,96,622.5,110,33,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.0601,-90.596,,-10085095.2446,3511282.4959
249,531,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,ROBINSON,Illinois,2,,76,54.5,44,,82,35,200.5,31,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",38.9973,-87.7159,,-9764483.8678,4721282.5364
250,538,HUNT SOUTHLAND REFINING CO,HUNT CONSLD INC,SANDERSVILLE,Mississippi,3,,6.9,,,,,,,,6.1,EIA-820 Refinery Capacity Report,"As of January 1, 2023",31.8149,-89.0092,,-9908457.5954,3739035.7292
251,550,LUNDAY THAGARD CO,WORLD OIL CO,SOUTH GATE,California,5,,5,,,,,,,,3.8,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.9464,-118.1666,,-13154250.9728,4021603.3671
252,2468,SILVER EAGLE REFINING,SILVER EAGLE REFINING INC,EVANSTON,Wyoming,4,,,,,,2.9,,3.9,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.2611,-110.8063,,-12334903.2304,5050936.6908
253,3008,GOODWAY REFINING LLC,GOODWAY REFINING LLC,ATMORE,Alabama,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",31.072,-87.363,,-9725204.6742,3642103.2483
254,3109,EXCEL PARALUBES,EXCEL PARALUBES,WESTLAKE,Louisiana,3,,,,43,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.1883,-93.339,,-10390452.0662,3527776.4446
255,3215,EQUISTAR CHEMICALS LP,ACCESS INDUSTRIES,CHANNELVIEW,Texas,3,,,,,,,22.4,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.8234,-95.1136,,-10587993.7347,3480867.1321
256,4998,KINDER MORGAN CRUDE & CONDENSATE,KINDER MORGAN ENERGY PTNRS LP,GALENA PARK,Texas,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.733,-95.2197,,-10599806.5137,3469277.7531
257,5037,PETROMAX REFINING CO LLC,PETROMAX REFINING CO LLC,HOUSTON,Texas,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.7538,-95.1232,,-10589068.5243,3471938.3762
258,5048,BUCKEYE TEXAS PROCESSING LLC,BUCKEYE PARTNERS LP,CORPUS CHRISTI,Texas,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",27.8179,-97.5055,,-10854266.1718,3226033.8551
259,5082,MAGELLAN PROCESSING LP,MAGELLAN MIDSTREAM PARTNERS LP,CORPUS CHRISTI,Texas,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",27.8069,-97.4391,,-10846871.3293,3224654.5696
260,5199,HARTREE CHANNELVIEW LLC,HARTREE PARTNERS LP,CHANNELVIEW,Texas,3,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.7646,-95.103,,-10586817.5329,3473327.1141
