OBJECTID,Site ID,Company,Corp,Site,State,PADD,Atmos. Crude Dist,Vacuum Dist,Catalytic Cracking,Hydro Cracking,"Thermal Cracking, Visbreaking",Catalytic Recorming,"Alkylates, Isomerization",Desulfurization,Fluid and Delayed Coking,Asphalt and Road Oil,Source,Period,Latitude,Longitude,Link_Imports,x,y
145,119,CHEVRON USA INC,CHEVRON CORP,EL SEGUNDO,California,5,,169.1,73.8,55,,49,66.1,243.5,76.7,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.9114,-118.411,,-13181451.5564,4016914.3572
146,120,CHEVRON USA INC,CHEVRON CORP,RICHMOND,California,5,,123.5,90,103.4,,71.3,85.9,382.2,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",37.9498,-122.3987,,-13625357.0616,4572333.8383
147,123,WESTERN REFINING COMPANY LP,MARATHON PETROLEUM CORP,EL PASO,Texas,3,,55.5,35,,,29.5,16.5,127,,4,EIA-820 Refinery Capacity Report,"As of January 1, 2023",31.7675,-106.3956,,-11843905.4618,3732831.5047
148,124,CHEVRON USA INC,CHEVRON CORP,SALT LAKE CITY,Utah,4,,27.9,15.5,,,9.1,6.6,50.3,10,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",40.8247,-111.9239,,-12459315.5631,4986525.7103
149,125,CHEVRON USA INC,CHEVRON CORP,PASCAGOULA,Mississippi,3,,330,88,119,,101.6,22,284.3,104,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.3447,-88.4899,,-9850652.1668,3547940.8874
150,147,DELEK REFINING LTD,DELEK GROUP LTD,TYLER,Texas,3,,28,20.3,,,17.5,4.7,77,7.5,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",32.3604,-95.282,,-10606739.7143,3810716.4756
151,148,PASADENA REFINING SYSTEMS INC,CHEVRON CORP,PASADENA,Texas,3,,38,,,,23,,39,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.7214,-95.2068,,-10598372.3847,3467793.8281
152,150,SILVER EAGLE REFINING,SILVER EAGLE REFINING INC,WOODS CROSS,Utah,4,,7,,,,,,4,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",40.8675,-111.9106,,-12457831.3403,4992818.7222
153,153,THE SAN ANTONIO REFINERY LLC,STARLIGHT RELATIVITY ACQUISITION CO,SAN ANTONIO,Texas,3,,,,,,6,,15,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.3476,-98.46,,-10960516.5069,3419967.2805
154,159,ERGON REFINING INC,ERGON INC,VICKSBURG,Mississippi,3,,18,,,,,,23,,10,EIA-820 Refinery Capacity Report,"As of January 1, 2023",32.386,-90.9078,,-10119815.0145,3814086.1975
155,161,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,BATON ROUGE,Louisiana,3,,254,243,27,,80,41,555.8,123.5,40,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.4863,-91.1698,,-10148975.3778,3566209.9712
156,162,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,BILLINGS,Montana,4,,32.3,23.7,6.2,,12.5,5.1,60.9,10,14.5,EIA-820 Refinery Capacity Report,"As of January 1, 2023",45.8145,-108.4348,,-12070904.2712,5750677.3344
157,163,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,BAYTOWN,Texas,3,,297,228,30.6,,126.5,44.5,819.1,96,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.7614,-94.9768,,-10572768.7905,3472920.7357
158,164,VALERO REFINING CO CALIFORNIA,VALERO ENERGY CORP,BENICIA,California,5,,85.5,75.3,34,,37.2,21.3,169.3,29.5,9,EIA-820 Refinery Capacity Report,"As of January 1, 2023",38.072,-122.1383,,-13596375.4774,4589602.9869
159,168,COFFEYVILLE RESOURCES RFG & MKTG,CVR ENERGY,COFFEYVILLE,Kansas,2,,46,36,,,26,10,124,25,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",37.0495,-95.6058,,-10642791.5332,4446012.1836
160,176,BIG WEST OIL CO,FJ MANAGEMENT INC,NORTH SALT LAKE,Utah,4,,,12.5,,,8.8,8,24.2,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",40.8386,-111.9207,,-12458951.437,4988557.7957
161,177,WYNNEWOOD REFINING CO,CVR ENERGY,WYNNEWOOD,Oklahoma,2,,34,22,,,18.7,5.5,67.5,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",34.6329,-97.1678,,-10816665.1194,4114111.0406
162,185,HF SINCLAIR NAVAJO REFINING LLC,HF SINCLAIR CORP,ARTESIA,New Mexico,3,,34.3,30,18,,24,9.5,118,,7,EIA-820 Refinery Capacity Report,"As of January 1, 2023",32.8448,-104.391,,-11620750.6257,3874724.6141
163,187,CALUMET MONTANA REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",GREAT FALLS,Montana,4,,10,3,,,1.3,2.3,9.8,,4.7,EIA-820 Refinery Capacity Report,"As of January 1, 2023",47.5232,-111.2953,,-12389337.9048,6027897.6921
164,190,HUNT REFINING CO,HUNT CONSLD INC,TUSCALOOSA,Alabama,3,,26,,23,,18,4.5,59,38,26,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.2005,-87.611,,-9752813.1324,3921945.5952
165,191,VALERO REFINING CO CALIFORNIA,VALERO ENERGY CORP,WILMINGTON ASPHALT PLANT,California,5,,5,,,,,,,,3.5,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.7983,-118.2369,,-13162067.1595,4001750.8261
166,202,KERN OIL & REFINING CO,KERN OIL & REFINING CO,BAKERSFIELD,California,5,,,,,,5.8,,14,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",35.2947,-118.918,,-13237885.9741,4204004.7569
167,203,FLINT HILLS RESOURCES LP,KOCH INDUSTRIES INC,SAINT PAUL,Minnesota,2,,234,96,67,,49,32,341,82,45,EIA-820 Refinery Capacity Report,"As of January 1, 2023",44.7633,-93.0391,,-10357065.2359,5584334.5703
168,204,FLINT HILLS RESOURCES LP,KOCH INDUSTRIES INC,CORPUS CHRISTI WEST,Texas,3,,87.5,58.1,15.5,,,15.5,249,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",27.833,-97.526,,-10856540.7629,3227931.906
169,205,FLINT HILLS RESOURCES LP,KOCH INDUSTRIES INC,CORPUS CHRISTI EAST,Texas,3,,,49.1,,,,,33,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",27.8044,-97.4248,,-10845283.8021,3224331.007
170,206,VERTEX REFINING ALABAMA LLC,VERTEX ENERGY LP,SARALAND,Alabama,3,,29,,,,22,1.2,61.7,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.7886,-88.0562,,-9802371.3452,3605325.1546
171,209,ULTRAMAR INC,VALERO ENERGY CORP,WILMINGTON REFINERY,California,5,,46,56.3,,,18,22,144,28.8,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.7791,-118.2337,,-13161711.1598,3999172.9541
172,217,VALERO REF COMPANY TENNESSEE LLC,VALERO ENERGY CORP,MEMPHIS,Tennessee,2,,,70,26.5,,36,17,129,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",35.0847,-90.0826,,-10027948.8274,4175398.0455
