date,time,sym,bid,ask,bsiz,asiz,n,v,prc
2012-08-20,-360,CLF3,96.88,98,3,1,0,0,
2012-08-20,-330,CLF3,97.51,97.54,1,3,7,7,97.6014285714
2012-08-20,-300,CLF3,97.53,97.54,1,1,1,1,97.54
2012-08-20,-270,CLF3,97.49,97.53,3,4,0,0,
2012-08-20,-240,CLF3,97.49,97.53,7,2,0,0,
2012-08-20,-210,CLF3,97.44,97.49,5,1,0,0,
2012-08-20,-180,CLF3,97.53,97.57,1,1,3,3,97.5733333333
2012-08-20,-150,CLF3,97.51,97.55,1,1,0,0,
2012-08-20,-120,CLF3,97.52,97.56,3,4,0,0,
2012-08-20,-90,CLF3,97.58,97.62,4,1,0,0,
2012-08-20,-60,CLF3,97.53,97.57,8,2,0,0,
2012-08-20,-30,CLF3,97.59,97.64,5,3,5,53,97.6030188679
2012-08-20,0,CLF3,97.59,97.63,4,1,0,0,
2012-08-20,30,CLF3,97.66,97.7,1,2,0,0,
2012-08-20,60,CLF3,97.61,97.66,1,2,0,0,
2012-08-20,90,CLF3,97.53,97.57,8,2,3,3,97.64
2012-08-20,120,CLF3,97.65,97.68,4,1,0,0,
2012-08-20,150,CLF3,97.78,97.82,3,14,29,30,97.8113333333
2012-08-20,180,CLF3,97.64,97.68,1,6,8,27,97.7481481481
2012-08-20,210,CLF3,97.65,97.69,2,2,10,15,97.6293333333
2012-08-20,240,CLF3,97.54,97.57,3,6,1,1,97.53
2012-08-20,270,CLF3,97.43,97.45,3,2,11,40,97.3415
2012-08-20,300,CLF3,97.46,97.48,3,2,68,163,97.4211042945
2012-08-20,330,CLF3,97.51,97.52,7,1,10,10,97.599
2012-08-20,360,CLF3,97.42,97.45,9,4,34,43,97.4648837209
2012-08-20,390,CLF3,97.31,97.34,2,3,28,85,97.2987058824
2012-08-20,420,CLF3,97.36,97.39,5,3,41,67,97.2695522388
2012-08-20,450,CLF3,97.4,97.41,1,1,9,16,97.466875
2012-08-20,480,CLF3,97.47,97.49,16,6,29,200,97.46
2012-08-20,510,CLF3,97.4,97.43,4,17,87,149,97.4204697987
2012-08-20,540,CLF3,97.18,97.2,3,6,335,1453,97.3195664143
2012-08-20,570,CLF3,97.26,97.28,2,10,158,228,97.2207017544
2012-08-20,600,CLF3,96.82,96.83,3,5,461,2055,96.9907493917
2012-08-20,630,CLF3,96.57,96.59,10,2,156,762,96.8273884514
2012-08-20,660,CLF3,96.87,96.89,4,7,175,612,96.7885130719
2012-08-20,690,CLF3,97.19,97.2,3,2,92,204,97.0387745098
2012-08-20,720,CLF3,97.25,97.26,1,1,166,581,97.2716695353
2012-08-20,750,CLF3,97.16,97.18,14,43,259,1286,97.2457231726
2012-08-20,780,CLF3,96.95,96.98,3,5,167,365,96.9999726027
2012-08-20,810,CLF3,97.04,97.07,11,18,56,142,97.0396478873
2012-08-20,840,CLF3,97,97.02,6,11,188,705,96.9025106383
2012-08-20,870,CLF3,97.35,97.38,3,15,543,1851,97.0517990276
2012-08-20,900,CLF3,97.18,97.21,2,7,316,794,97.3177455919
2012-08-20,930,CLF3,97.15,97.19,4,9,38,154,97.2598701299
2012-08-20,960,CLF3,97.32,97.34,2,1,26,40,97.2535
2012-08-20,990,CLF3,97.17,97.23,10,5,18,168,97.254047619
2012-08-20,1020,CLF3,97.23,97.26,1,1,,,
2012-08-20,-360,CLF4,,,,,0,0,
2012-08-20,-330,CLF4,,,,,0,0,
2012-08-20,-300,CLF4,,,,,0,0,
2012-08-20,-270,CLF4,,,,,0,0,
2012-08-20,-240,CLF4,,,,,0,0,
2012-08-20,-210,CLF4,,,,,0,0,
2012-08-20,-180,CLF4,,,,,0,0,
2012-08-20,-150,CLF4,,,,,0,0,
2012-08-20,-120,CLF4,,,,,0,0,
2012-08-20,-90,CLF4,,,,,0,0,
2012-08-20,-60,CLF4,,,,,0,0,
2012-08-20,-30,CLF4,,,,,0,0,
2012-08-20,0,CLF4,,,,,0,0,
2012-08-20,30,CLF4,,,,,0,0,
2012-08-20,60,CLF4,,,,,0,0,
2012-08-20,90,CLF4,,,,,0,0,
2012-08-20,120,CLF4,,,,,0,0,
2012-08-20,150,CLF4,,,,,0,0,
2012-08-20,180,CLF4,,,,,0,0,
2012-08-20,210,CLF4,,,,,2,4,95.79
2012-08-20,240,CLF4,,,,,2,2,95.72
2012-08-20,270,CLF4,,,,,0,0,
2012-08-20,300,CLF4,,,,,0,0,
2012-08-20,330,CLF4,,,,,0,0,
2012-08-20,360,CLF4,,,,,0,0,
2012-08-20,390,CLF4,,,,,0,0,
2012-08-20,420,CLF4,,,,,1,0,
2012-08-20,450,CLF4,,,,,0,0,
2012-08-20,480,CLF4,,,,,7,21,95.4852380952
2012-08-20,510,CLF4,,,,,7,29,95.5
2012-08-20,540,CLF4,,,,,4,20,95.37
2012-08-20,570,CLF4,,,,,16,78,95.2061538462
2012-08-20,600,CLF4,,,,,0,0,
2012-08-20,630,CLF4,,,,,15,91,95.1393406593
2012-08-20,660,CLF4,,,,,11,85,94.8952941176
2012-08-20,690,CLF4,,,,,19,35,95.14
2012-08-20,720,CLF4,,,,,21,75,95.3053333333
2012-08-20,750,CLF4,,,,,0,0,
2012-08-20,780,CLF4,,,,,0,0,
2012-08-20,810,CLF4,,,,,0,0,
2012-08-20,840,CLF4,,,,,0,0,
2012-08-20,870,CLF4,,,,,15,82,95.1342682927
2012-08-20,900,CLF4,,,,,0,0,
2012-08-20,930,CLF4,,,,,3,5,95.14
2012-08-20,960,CLF4,,,,,0,0,
2012-08-20,990,CLF4,,,,,0,0,
2012-08-20,1020,CLF4,,,,,,,
2012-08-20,-360,CLG3,97.2,98.7,2,1,0,0,
2012-08-20,-330,CLG3,97.79,97.85,4,3,1,1,97.64
2012-08-20,-300,CLG3,97.81,97.85,5,1,0,0,
2012-08-20,-270,CLG3,97.78,97.83,3,2,0,0,
2012-08-20,-240,CLG3,97.78,97.84,7,2,0,0,
2012-08-20,-210,CLG3,97.73,97.8,5,1,0,0,
2012-08-20,-180,CLG3,97.82,97.87,2,1,0,0,
2012-08-20,-150,CLG3,97.8,97.86,1,3,0,0,
2012-08-20,-120,CLG3,97.82,97.86,1,1,0,0,
2012-08-20,-90,CLG3,97.88,97.93,1,1,0,0,
2012-08-20,-60,CLG3,97.82,97.88,8,4,0,0,
2012-08-20,-30,CLG3,97.89,97.95,4,5,6,43,97.62
2012-08-20,0,CLG3,97.9,97.94,1,1,0,0,
2012-08-20,30,CLG3,97.95,98.01,1,2,0,0,
2012-08-20,60,CLG3,97.91,97.97,1,4,0,0,
2012-08-20,90,CLG3,97.83,97.88,4,2,1,1,97.9
2012-08-20,120,CLG3,97.94,97.99,5,1,0,0,
2012-08-20,150,CLG3,98.06,98.12,11,10,1,1,97.9
2012-08-20,180,CLG3,97.93,97.98,1,4,0,0,
2012-08-20,210,CLG3,97.95,97.99,1,2,3,17,97.9376470588
2012-08-20,240,CLG3,97.83,97.87,3,6,0,0,
2012-08-20,270,CLG3,97.72,97.76,12,3,2,29,97.63
2012-08-20,300,CLG3,97.77,97.79,1,2,23,105,97.7680952381
2012-08-20,330,CLG3,97.81,97.83,7,1,1,1,97.93
2012-08-20,360,CLG3,97.73,97.76,1,4,7,7,97.8114285714
2012-08-20,390,CLG3,97.62,97.65,2,3,23,51,97.6535294118
2012-08-20,420,CLG3,97.67,97.7,3,2,1,0,
2012-08-20,450,CLG3,97.7,97.73,4,3,0,0,
2012-08-20,480,CLG3,97.77,97.8,23,3,5,24,97.7766666667
2012-08-20,510,CLG3,97.71,97.73,4,7,294,717,97.7139470014
2012-08-20,540,CLG3,97.49,97.51,3,4,254,610,97.618852459
2012-08-20,570,CLG3,97.56,97.59,11,10,136,277,97.4826353791
2012-08-20,600,CLG3,97.14,97.16,3,5,131,451,97.407827051
2012-08-20,630,CLG3,96.89,96.92,17,6,158,398,97.1034924623
2012-08-20,660,CLG3,97.19,97.21,2,7,188,392,97.0348469388
2012-08-20,690,CLG3,97.5,97.52,15,2,126,172,97.3529651163
2012-08-20,720,CLG3,97.55,97.57,1,1,142,640,97.518140625
2012-08-20,750,CLG3,97.47,97.49,13,5,111,564,97.5459397163
2012-08-20,780,CLG3,97.26,97.29,3,3,44,71,97.3705633803
2012-08-20,810,CLG3,97.35,97.39,10,18,19,73,97.4038356164
2012-08-20,840,CLG3,97.31,97.33,6,7,94,208,97.2582692308
2012-08-20,870,CLG3,97.66,97.68,2,1,514,1303,97.3519877206
2012-08-20,900,CLG3,97.48,97.51,2,7,140,255,97.6141176471
2012-08-20,930,CLG3,97.45,97.49,4,9,37,152,97.5594078947
2012-08-20,960,CLG3,97.61,97.64,6,2,5,5,97.53
2012-08-20,990,CLG3,97.46,97.52,10,5,13,194,97.6285051546
2012-08-20,1020,CLG3,97.52,97.56,1,1,,,
2012-08-20,-360,CLG4,,,,,0,0,
2012-08-20,-330,CLG4,,,,,0,0,
2012-08-20,-300,CLG4,,,,,0,0,
2012-08-20,-270,CLG4,,,,,0,0,
2012-08-20,-240,CLG4,,,,,0,0,
2012-08-20,-210,CLG4,,,,,0,0,
2012-08-20,-180,CLG4,,,,,0,0,
2012-08-20,-150,CLG4,,,,,0,0,
2012-08-20,-120,CLG4,,,,,0,0,
2012-08-20,-90,CLG4,,,,,0,0,
2012-08-20,-60,CLG4,,,,,0,0,
2012-08-20,-30,CLG4,,,,,0,0,
2012-08-20,0,CLG4,,,,,0,0,
2012-08-20,30,CLG4,,,,,0,0,
2012-08-20,60,CLG4,,,,,0,0,
2012-08-20,90,CLG4,,,,,0,0,
2012-08-20,120,CLG4,,,,,0,0,
2012-08-20,150,CLG4,,,,,0,0,
2012-08-20,180,CLG4,,,,,0,0,
2012-08-20,210,CLG4,,,,,0,0,
2012-08-20,240,CLG4,,,,,0,0,
2012-08-20,270,CLG4,,,,,0,0,
2012-08-20,300,CLG4,,,,,0,0,
2012-08-20,330,CLG4,,,,,0,0,
2012-08-20,360,CLG4,,,,,0,0,
2012-08-20,390,CLG4,,,,,0,0,
2012-08-20,420,CLG4,,,,,0,0,
2012-08-20,450,CLG4,,,,,0,0,
2012-08-20,480,CLG4,,,,,1,0,
2012-08-20,510,CLG4,,,,,0,0,
2012-08-20,540,CLG4,,,,,0,0,
2012-08-20,570,CLG4,,,,,0,0,
2012-08-20,600,CLG4,,,,,3,29,94.75
2012-08-20,630,CLG4,,,,,11,91,94.7565934066
2012-08-20,660,CLG4,,,,,3,5,94.76
2012-08-20,690,CLG4,,,,,19,35,94.76
2012-08-20,720,CLG4,,,,,10,20,94.76
2012-08-20,750,CLG4,,,,,0,0,
2012-08-20,780,CLG4,,,,,0,0,
2012-08-20,810,CLG4,,,,,0,0,
2012-08-20,840,CLG4,,,,,0,0,
2012-08-20,870,CLG4,,,,,15,45,94.7677777778
2012-08-20,900,CLG4,,,,,0,0,
2012-08-20,930,CLG4,,,,,3,5,94.77
2012-08-20,960,CLG4,,,,,0,0,
2012-08-20,990,CLG4,,,,,0,0,
2012-08-20,1020,CLG4,,,,,,,
2012-08-20,-360,CLH3,91.8,,3,,0,0,
2012-08-20,-330,CLH3,97.92,98,1,3,0,0,
2012-08-20,-300,CLH3,97.93,98,5,1,0,0,
2012-08-20,-270,CLH3,97.9,97.97,3,2,0,0,
2012-08-20,-240,CLH3,97.89,97.99,7,2,0,0,
2012-08-20,-210,CLH3,97.85,97.95,2,1,0,0,
2012-08-20,-180,CLH3,97.94,98.01,2,1,0,0,
2012-08-20,-150,CLH3,97.92,97.99,2,1,0,0,
2012-08-20,-120,CLH3,97.94,98,1,1,0,0,
2012-08-20,-90,CLH3,98,98.07,1,1,0,0,
2012-08-20,-60,CLH3,97.94,98.02,8,4,0,0,
2012-08-20,-30,CLH3,98.01,98.09,5,5,6,43,97.76
2012-08-20,0,CLH3,98.02,98.08,2,1,0,0,
2012-08-20,30,CLH3,98.07,98.15,2,2,0,0,
2012-08-20,60,CLH3,98.03,98.11,2,4,0,0,
2012-08-20,90,CLH3,97.96,98.02,2,2,0,0,
2012-08-20,120,CLH3,98.07,98.13,5,1,0,0,
2012-08-20,150,CLH3,98.19,98.26,5,14,1,1,98.03
2012-08-20,180,CLH3,98.06,98.12,1,3,0,0,
2012-08-20,210,CLH3,98.07,98.12,2,2,8,9,98.0233333333
2012-08-20,240,CLH3,97.96,98,3,1,0,0,
2012-08-20,270,CLH3,97.86,97.9,12,5,9,13,97.8953846154
2012-08-20,300,CLH3,97.9,97.94,1,11,45,116,98.004137931
2012-08-20,330,CLH3,97.95,97.97,1,1,0,0,
2012-08-20,360,CLH3,97.86,97.9,2,4,1,10,98.02
2012-08-20,390,CLH3,97.76,97.8,2,3,25,33,97.9251515152
2012-08-20,420,CLH3,97.81,97.85,3,2,2,1,98.01
2012-08-20,450,CLH3,97.84,97.87,10,1,6,32,98.0053125
